Short description,Description,Caller,Assignment group
stock transfer order errors - pricing and transfer pricing,"user is attempting to create a stock transfer order (#5019143070) in erp for the following situations and is receiving the errors below:

sender reciever material created quantity  requsted quantity  sto number error code
plant_105 plant_101 2191584                  1           error in net price calculation, item 000001 (please correct)
plant_105 plant_101 2355391                  3            please enter net price

could someone please review the rqfhiong zkwfqagbs and pricing to see why the errors are being received by the analyst creating the sto?  an average customer net price (vk13 - zttf) exists for 2191584 so there should be no error.  no average customer net price exists for 2355391 so the system should automatically simulate a price.",wgothrzl iokdftgn,GRP_29
erp login error message,"error message states ""the specified path does not exist""",oqvwgnkc gkjylpzx,GRP_0
cannot get access to email,"ext.117
since yesterday i'm unable to get on microsoft email, usually i go on the km home page then i go to my bookmarkhty to where the email page is, it keeps loading and doesn't go to the email page",rqnxlkce nvrzduyk,GRP_0
import device type settings from s12 to d & q system,import device type settings from s12 to d & q system,rdfjsawg zpmxgdcw,GRP_14
collaboration_platform login issue.,"ess login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",bnphimjq osmwbjva,GRP_0
erp SID_34 account unlock,erp SID_34 account unlock,vbgmdxuc egflrbou,GRP_0
the same material was posted in two different plants. display material document 5042203567. mov. 541 mm#3475529,"sometimes we need to send some material to the vendors for manufacturing different kind of new itens to company. in this case, when we sent the mm# 4586630 to the external vendor, the system make two different moviments. one at plant plant_248 and another at plant plant_250. because of this problem, we cannot create a nota financial_toolcal and we cannot reverse the moviment.",yjcxvrhu mlqfuapc,GRP_13
job SID_53hotf failed in job_scheduler at: 08/23/2016 13:16:00,"received from: monitoring_tool@company.com

job SID_53hotf failed in job_scheduler at: 08/23/2016 13:16:00",bpctwhsn kzqsbmtp,GRP_1
unlocked erp password,unlocked erp password,fyjivxud ztasbivg,GRP_0
job SID_41hotf failed in job_scheduler at: 08/23/2016 12:45:00,"received from: monitoring_tool@company.com

job SID_41hotf failed in job_scheduler at: 08/23/2016 12:45:00",bpctwhsn kzqsbmtp,GRP_1
job SID_53hotf failed in job_scheduler at: 08/23/2016 12:42:00,"received from: monitoring_tool@company.com

job SID_53hotf failed in job_scheduler at: 08/23/2016 12:42:00",bpctwhsn kzqsbmtp,GRP_1
job SID_44hotf failed in job_scheduler at: 08/23/2016 12:43:00,"received from: monitoring_tool@company.com

job SID_44hotf failed in job_scheduler at: 08/23/2016 12:43:00",bpctwhsn kzqsbmtp,GRP_1
user called in for an update,user called in for an update,rbozivdq gmlhrtvp,GRP_0
login + password very urgent for esprit,"received from: ufzxpadv.hnxmotwu@gmail.com

hello,

i would like a login and password for our partner from dp technology for tomorrow ?

is it possible to create it aerp?",ufzxpadv hnxmotwu,GRP_0
need to create a partial delivery today on so 35645376 which is structured using the higher level linkage.,"when creating the delivery note it reflects the correct quantities, but when saving it defaults to full quantities.  attached is a listing of what line items and quantities are needed.  shipment needs to be made to day.  customer is in need.",qtrmxlgv dfruzvam,GRP_18
lead form component not working in prod,"i have just discovered the lead forms for both road king and beyond evolution are not working. both pages can be found by clicking the banners on the english homepage. then try clicking the call to action buttons (see attached). also there is a page in qa i used for uacyltoe hxgayczeing, it is also not working.

#/content/company/en/recs-uacyltoe hxgaycze/responsive-recs.html",lenxvcbq vwnhjtoi,GRP_51
computer loading temp profile whenever user is logging in with his id and password,"computer loading temp profile whenever user is logging in with his id and password.

user id - bhergtyemm",fmjwzstr yjotleqg,GRP_19
erp plm - engineering tool programdnty start error,"post login screen receiving attached error

reinstalled java to the recommended version (32 and 64 bit)
deleted engineering tool install from programdnty data folder and retried install, still no go.

verified login ability to SID_34 system with same id and password.

please contact ertnhxkf gwjibhxm to get access to this new pc",hiqkujla vwkdmntg,GRP_11
printer not kicking out delivery notes,"received from: rtpmlwnk.unpambrv@gmail.com

hi,

i work at the usa, il plant.  when we enter orders in erp they would always kick out the ""delivery note"".   for some reason, they have stopped printing.  raifstow gfeymtql and i both are not receiving the delivery notes for the reconditioning orders.  i have a screen shot below that shows that i am set up for printer output device ""qv20 "".  can you help to make our delivery notes ""automatic"" like previously?",rtpmlwnk unpambrv,GRP_18
unable to launch hr_tool etime,unable to launch hr_tool etime,dcqsolkx kmsijcuz,GRP_0
i cannot open a pptx file that was attached to an email.  gives a repair error.,i cannot open a pptx file that was attached to an email.  gives a repair error.,xdabnget wryuikgd,GRP_3
unable to see fioghtna wightygins emails,unable to see fioghtna wightygins emails,iqcylpok ascpqvni,GRP_0
vip 2: unable to login to the hub,vip 2: unable to login to the hub,qdilorms feayhdmu,GRP_0
frequent account lockout,frequent account lockout,jusenflm sufbehom,GRP_0
create delivery note  2053495 / plant plant_120 / slc 0088 / apo error / urgent  eilt,"received from: tkuivxrn.urdgitsv@gmail.com

help,

plaese create delivery note for material 2053495, to be shipped to plant_223.

please also advice why apo does not work correct and what corrective actions are required.

franhtyu,

fyi, what reason caused this error? did you investigate?

kind",qgopxabz xnuieqjr,GRP_6
ticket update inplant_852304,ticket update inplant_852304,fumkcsji sarmtlhy,GRP_0
unable to login to dell 7350 tablet,unable to login to dell 7350 tablet,bycusxji qeafbkro,GRP_0
internet through telecom_vendor_3 now working,"received from: ywfhcuki.dajkmxcl@gmail.com

hello,

i always get the error of limited connectivity even after having good network of telecom_vendor_3.


[cid:image001.png@01d1fd75.1e9817a0]",ywfhcuki dajkmxcl,GRP_0
unable to download a software,unable to download a software,csmhykge mpxbjudw,GRP_0
access to drawings,"name:mikhghytr karaffa
language:
browser:microsoft internet explorer
email:vfrdxtqw.jfbmsenz@gmail.com
customer number:
telephone:
summary:requesting drawing access in erp modeling majetkm",vfrdxtqw jfbmsenz,GRP_0
password reset,"from: nwfodmhc exurcwkm 
sent: tuesday, august 23, 2016 4:35 pm
to: mkjubdti fbusqrlt
cc: tiyhum kuyiomar
subject: request to reset microsoft online services password for mkjubdti.fbusqrlt@gmail.com

hi rodny

please change your password in",mkjubdti fbusqrlt,GRP_0
ticket update on inplant_853211,ticket update on inplant_853211,fumkcsji sarmtlhy,GRP_0
re: please take this survey related to ticket_no0432312,"received from: cowqyjzm.fzsxgapt@gmail.com

has this been remapped?",cowqyjzm fzsxgapt,GRP_0
delivery notes has generated delivery-with wrong delivery pieces,"delivery notes has generated delivery-with wrong delivery pieces

one of the colleague generated dn with actuall pieces 450 pcs. with mm 3332059
but when the delivery note was printed we notices that it shows the deliverable pieces as 450 pcs. instead of 400 pcs.
erp should not allow this??
there was earlier kind of issue, reference ticket inc1188203",mtwzniyh orbjskip,GRP_18
unable to log in to skype,unable to log in to skype,hdfcwmag plxstkad,GRP_0
german call // caller disconnected after hearing english,german call // caller disconnected after hearing english,rbozivdq gmlhrtvp,GRP_0
outlook not responding,outlook not responding,hdfcwmag plxstkad,GRP_0
software installation,software installation,mfeyouli ndobtzpw,GRP_0
the caller id display on users desk phone does not display correctly,"from: cwuospin nbhoxqpe 
sent: tuesday, august 23, 2016 5:19 pm
to: chukhyt mcnerny; -facility; nwfodmhc exurcwkm
subject: amar re: desk phone

help desk,

please see chukhyt's request

sincerely,

stanfghyley guhtykes, fmp
facilities manager, world headquarters
cwuospin.nbhoxqpe@gmail.com",ciszbkoh xozqjavr,GRP_37
need to add additional mailboxes,need to add additional mailboxes,tqpbazxm jhbkycgd,GRP_0
ticket_no1544198 - ticket update,ticket_no1544198 - ticket update,olckhmvx pcqobjnd,GRP_0
job Job_1314 failed in job_scheduler at: 08/23/2016 08:45:00,"received from: monitoring_tool@company.com

job Job_1314 failed in job_scheduler at: 08/23/2016 08:45:00",bpctwhsn kzqsbmtp,GRP_9
erp connections issue,erp connections issue,kslhobgj cyhvefna,GRP_0
reset the password for gülperi aköz on erp / production / hcm,"on erp SID_34, SID_37 i  want to reset my password.",plbwhxqt tqzdygxw,GRP_0
kiosk user - account expired // onjzqptl kgxmisbj,kiosk user - account expired // onjzqptl kgxmisbj,rbozivdq gmlhrtvp,GRP_0
account unlock,account unlock,jusenflm sufbehom,GRP_0
"cannot open attachments in owa, shows a white screen when opening.","cannot open attachments in owa, shows a white screen when opening.",ufixygtn yuoxcmek,GRP_3
cannot access crm,cannot access crm - my contact info is,xioapjvd yiqubxmz,GRP_0
logon balancing error on erp,logon balancing error on erp,jrzpcesm oznigwvj,GRP_0
performance improvement for supervisor dashbankrd,performance improvement for supervisor dashbankrd.,entuakhp xrnhtdmk,GRP_41
reset the password for chkmejsn lvidgknc on erp / production / erp,please unlock my erp account.  i know the password.,chkmejsn lvidgknc,GRP_0
"skype will not let me sign in.  says ""the address you typed is not valid""","skype will not let me sign in.  says ""the address you typed is not valid""",wjtzrmqc ikqpbflg,GRP_0
erp SID_34 password reset.,erp SID_34 password reset.,nbdljruw axcrspyh,GRP_0
job SID_24arc1 failed in job_scheduler at: 08/23/2016 07:02:00,"received from: monitoring_tool@company.com

job SID_24arc1 failed in job_scheduler at: 08/23/2016 07:02:00",bpctwhsn kzqsbmtp,GRP_8
user id locked,"received from: bqyfwclo.osjklifb@gmail.com

hello,

could you please unlock user id teufeae (upiyobvj lwohuizr).

our it hotline cannot be reached.",bqyfwclo osjklifb,GRP_0
job SID_30arc1 failed in job_scheduler at: 08/23/2016 06:50:00,"received from: monitoring_tool@company.com

job SID_30arc1 failed in job_scheduler at: 08/23/2016 06:50:00",bpctwhsn kzqsbmtp,GRP_8
collaboration_platform cloud folder deleted,"Received from: uwncfovt.vxjbunfi@gmail.com

good day,

very important! my complete data !! are deleted! even in the cloud the folder ""vw team"" completely been deleted!
Please restore the ""vw folder"" with date from yesterday! if that works! very important!

Sincerely yours
uwncfovt vxjbunfi

sales engineer
mail: uwncfovt.vxjbunfi@gmail.com <mailto: uwncfovt.vxjbunfi@gmail.com>

Germany company gmbh
Managing director: rfwlsoej yvtjzkaw, phvkowml azbtkqwx, naruedlk mpvhakdq


This message is unique and determined solely for use by the addressee and may contain information that is not covered for protection, confidential or under applicable law of the disclosure. the spread, distribution or duplication of this message by people, which are other than the intended recipient is strictly prohibited. if this message mistaking received by them due to, then please notify the sender and delete this message.
[# + Company / posts> [
select the Following link to view the disclaimer in on alternate language.",uwncfovt vxjbunfi,GRP_0
job SID_23arc1 failed in job_scheduler at: 08/23/2016 06:31:00,"received from: monitoring_tool@company.com

job SID_23arc1 failed in job_scheduler at: 08/23/2016 06:31:00",bpctwhsn kzqsbmtp,GRP_8
job Job_711 failed in job_scheduler at: 08/23/2016 06:27:00,"received from: monitoring_tool@company.com

job Job_711 failed in job_scheduler at: 08/23/2016 06:27:00",bpctwhsn kzqsbmtp,GRP_8
job Job_2021a failed in job_scheduler at: 08/23/2016 06:20:00,"received from: monitoring_tool@company.com

job Job_2021a failed in job_scheduler at: 08/23/2016 06:20:00",bpctwhsn kzqsbmtp,GRP_6
job SID_23arc2 failed in job_scheduler at: 08/23/2016 06:16:00,"received from: monitoring_tool@company.com

job SID_23arc2 failed in job_scheduler at: 08/23/2016 06:16:00",bpctwhsn kzqsbmtp,GRP_8
need erp access to user vv180822 for erp incident,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_21 & SID_1

enter user id of user having the issue: vv180822

transaction code(s) the user needs or was working with: z:plm_general, z:plm_change_coordinator, spro

describe the issue: can you please create an user account for the erp incident 263306 / 2016 in SID_21 & SID_1. please set the user type to dialog, since erp will need business_client access to create er. please open the wts and http connection also. they would need an active directory account and please give access to roles z:plm_general, z:plm_change_coordinator, spro

if you are getting a ""not authorized"" message, recreate the condition then do   /nsu53   and attach result to the ticketing_tool ticket. external erp user

provide access the same as this other user: gthydanp",svdefgwl sgtmurfh,GRP_2
job Job_714 failed in job_scheduler at: 08/23/2016 06:11:00,"received from: monitoring_tool@company.com

job Job_714 failed in job_scheduler at: 08/23/2016 06:11:00",bpctwhsn kzqsbmtp,GRP_8
please run job jb_cust_db_file. please assign ticket to ebusaar munnangi,"hello,

could you please run the job jb_cust_db_file",rcbdyslq zuspjbtw,GRP_20
cross company in erp not allowed,"on transactions f-43 and f-60, user can no longer process transactions.  please assist in restoring this.",wifevnpm bkcixfjd,GRP_10
npc 311104334 mm6283517,"hello it service,
my manager serthyei needs to forward the pthsqroz moedyanvess, all the quote drawings are being created and linked to the mm#s as our standard procedure.
for un known reason, this mm 7394628 is not showing the linked drawing. moreover, serthyei was not able to add the document number manually.
please fix this, we need to forward the npc towards successful manufacturing.

crtgyerine: vlymsnej.whlqxcst@gmail.com
serthyei: ueywbzks.gepstmfl@gmail.com",vlymsnej whlqxcst,GRP_11
erp hcm: zpd_upload_time,"Received from: jywvemun.qngschtz@gmail.com

erp team,
we need to update the report zpd_upload_time for erp hcm
Because of the new eight digits employee numbers.
please see below.
srgtycha



by: jfcrdavy sxpotjlu
sent: Tuesday, 23 August 2016 11:10
to: weszfyok fbadnjhu <weszfyok.fbadnjhu@gmail.com>; jywvemun qngschtz <jywvemun.qngschtz@gmail.com>
cc: pesylifc wnyierbu <pesylifc.wnyierbu@gmail.com>; lixwgnto krutnylz <lixwgnto.krutnylz@gmail.com>; puxsvfwr cwkjruni <puxsvfwr.cwkjruni@gmail.com>
subject: aw: inc1530735 - comments added

Hello everybody,

which provide the erp upload-programdntym zpd_upload_time must also pernr of 6
to the max. be adapted provide length of 8:
[Cid: image001.png@01d1fd2e.708348b0]

Please make a accordingly.

Sincerely yours


jfcrdavy sxpotjlu




This message is unique and determined solely for use by the addressee and may contain information that is not covered for protection, confidential or under applicable law of the disclosure. the spread, distribution or duplication of this message by people, which are other than the intended recipient is strictly prohibited. if this message mistaking received by them due to, then please notify the sender and delete this message.
[# + Company / posts> [
select the Following link to view the disclaimer in on alternate language.",jywvemun qngschtz,GRP_20
account locked.,account locked.,vfoyenlw ntpbdeyf,GRP_0
job Job_3028 failed in job_scheduler at: 08/23/2016 05:21:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 05:21:00",bpctwhsn kzqsbmtp,GRP_12
error as before - inplant_852536,"databases can be not yet open
I rebooted pc ago",djilqgmw bidchqsg,GRP_12
access to business center database ce_cs not work !!!,access to business center database ce_cs not work !!!,tiefszyh sfujdlgv,GRP_0
"for error message ""inwarehouse_tool document still contails message""","can't posting in t-code miro.  error message is ""inwarehouse_tool document still contains message"" about po 5616637384,4505601201",cthaborg cahbxlmr,GRP_10
job Job_3028 failed in job_scheduler at: 08/23/2016 04:34:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 04:34:00",bpctwhsn kzqsbmtp,GRP_45
def. Change Montitor,"please check the def. monitor exchange through the ventilation control in the boiler room.
contact: rössler christgrytian -189",ndkrcxjb hpormqtx,GRP_42
access requited for vl02n for post goods issues,"received from: wrelsfqa.qfwosjkh@gmail.com

good morning

please can you usa access to myself and gydtvnlw miepcwzf to enable us to do the post goods issues for return deliveries. nieghjyukea for angelique and coetzk for myself.

kind",wrelsfqa qfwosjkh,GRP_2
outlook hangs / does not open,outlook hangs / does not open,mvhcoqed konjdmwq,GRP_0
circuit outage  vogelfontein :company-eu-zaf-vogelfontein-dmvpn-1941  down since 8/23/2016 2:56 am est (site up on primary),"what type of outage:  _____network     ___x__circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    __no_______     (yes/no/na) 

2. when did it start  ?   _______8/23/2016 2:56 am est______________

3.  scheduled maintenance ( power) ? __no_____    (yes/no/na)     company power  ___yes______     provider power _________
                
4.  scheduled maintenance ( network) ? __no_____    (yes/no/na)     company maint____no____ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   _____yes___     (yes/no/na) 

7. site contact notified (phone/email) ?  ___email______     (yes/no/na) 

8. remote dial-in ?   ___yes________   (yes/no/na) 

9. equipment reset ?    ___na________    (yes/no/na) 

10. verified site working on backup circuit ?  _____yes__     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    ________na_________________       

12. notified  gsc  ___yes_____     (yes/no/na)    cert started  ?____na____    (yes/no/na) 

13.  additional diagnostics",uxgrdjfc kqxdjeov,GRP_8
job Job_512 failed in job_scheduler at: 08/23/2016 03:33:00,"received from: monitoring_tool@company.com

job Job_512 failed in job_scheduler at: 08/23/2016 03:33:00",bpctwhsn kzqsbmtp,GRP_8
job Job_495 failed in job_scheduler at: 08/23/2016 03:30:00,"received from: monitoring_tool@company.com

job Job_495 failed in job_scheduler at: 08/23/2016 03:30:00",bpctwhsn kzqsbmtp,GRP_8
R216 mouse defective,R216 mouse defective,mhvbnqri sacvgzxf,GRP_33
pc to purely ecker wzs60 probably faulty. machine stands.,pc to purely ecker wzs60 probably faulty. machine stands.,jcgzqndm hukibzqa,GRP_33
erp SID_34 account locked.,erp SID_34 account locked.,emjalxih bcetgmhr,GRP_0
outlook is prompting for password,outlook is prompting for password,urxvagbn sibmvrqc,GRP_0
Printer toner is not to change more,Printer toner is not to change more,ijsptgkh giojsnqz,GRP_33
job Job_2662 failed in job_scheduler at: 08/23/2016 02:46:00,"received from: monitoring_tool@company.com

job Job_2662 failed in job_scheduler at: 08/23/2016 02:46:00",bpctwhsn kzqsbmtp,GRP_18
fan defective \ computer for video surveillance,fan defective \ computer for video surveillance,niptbwdq csenjruz,GRP_24
usb keybankr/monitor,requested for usb keybankrd and external monitor for new desk space.,vwaliogd dviwuzhm,GRP_19
user cwfzldts dlmukhyn cannot create purchasing requistions out of punch out catalogues,"he get the error ""documenttype no available for backend system"" see attached error messages in purchasing
for other users it works. seems to be something in his usersettings.",rhinvtua aquyjfbs,GRP_29
setup computer ewew8323869 \ wrcktgbd wzrgyunp,setup computer ewew8323869 \ wrcktgbd wzrgyunp,wrcktgbd wzrgyunp,GRP_24
I need network cable for the teleservice at ROBOWORKER.,"hello mr bghakch,
I need network cable for the teleservice at ROBOWORKER.
needed 3x 3x 10m and 5m remain connected permanently.",qidgvtwa qvbutayx,GRP_24
problems with lan now playing beschprechungsraum \ puxsvfwr cwkjruni,problems with lan now playing beschprechungsraum \ puxsvfwr cwkjruni,puxsvfwr cwkjruni,GRP_24
account names not seems on crm,i have issue when i try to create oppurtunities on crm. i didn't see any account name. normally it's working on connect and engineering_tool. please help to solve this issue.,fhcmnxat geazkjcs,GRP_40
conversion issue with the drawing nxd/71880207/000/00,"1.)     only pdf got converted and accessible, model and dxf are not accesible",ahmfwdxp frkmcqhg,GRP_0
attendance_tool issue,"received from: ufgkybsh.ijswtdve@gmail.com

dear sir/mam,

i am facing issue with attendance_tool . the following message is showing and it is not showing in single sign in portal also.

kindly help me to resolve the issue.

[cid:image001.jpg@01d1fd31.c82afba0][cid:image002.jpg@01d1fd31.c82afba0]",ufgkybsh ijswtdve,GRP_0
account locked in ad,account locked in ad,ofwxjriq rwcxkflq,GRP_0
"after changing my login id password in password_management_tool password manger, which was successful. i restarted my system, outlook/sky","name:wnorzsyv mdflqwxg
language:
browser:microsoft internet explorer
email:wnorzsyv.mdflqwxg@gmail.com
customer number:
telephone:
summary:after changing my login id password in password_management_tool password manger, which was successful. i restarted my system, outlook/skype is popping up with password request but not logging in",wnorzsyv mdflqwxg,GRP_0
unable to send or receive email,unable to send or receive email,iowkrcpd snrvlhyc,GRP_0
windows account locked,windows account locked,vmbltjsf gwryhfbe,GRP_0
unable to login into attendance_tool,i am unable to login to attendance_tool using single logon portal link.,iqpuxcbj nbaztpms,GRP_0
job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_8
job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_12
job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/23/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_8
job hr_tooldplcmmaninp failed in job_scheduler at: 08/23/2016 00:02:00,"received from: monitoring_tool@company.com

job hr_tooldplcmmaninp failed in job_scheduler at: 08/23/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_8
windows account locked,windows account locked,khgfbrdo vjxopikc,GRP_0
unable to login to engineering tool,unable to login to engineering tool,pkzthgea kgvsdmpj,GRP_0
unable to open outlook,unable to open outlook,tqemuawj mvcqrbaz,GRP_0
unable to login to engineering tool,unable to login to engineering tool,jtaronux xvurkcbi,GRP_0
awyw7217971,"received from: utgszjrf.pacfvxzk@gmail.com

please attend the below mentioned problem at the earliest.

system name : awyw8328082
user name : talagrtymr
problem: display not coming on monitor, system is getting on and off continiously

best",utgszjrf pacfvxzk,GRP_19
"microsoft office software have problem, couldn't access link and pop up warning of ""computer limitation""","contact phone: +86
system: windows 7
error messages: please refer to attachment",htzauevc nhxlvkta,GRP_0
shipping notification,"received from: bfckamsg.tzdkbmfe@gmail.com

hi it help
would you please help set the email of shipping notification for customer 81032999.",bfckamsg tzdkbmfe,GRP_18
network outage ::  company-eu-che-company-switzerland-2-dmvpn-1811-rtr01(no backup) :: since # 8/22/2016 9:35 pm est,"what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    __na_______     (yes/no/na) 

2. when did it start  ?   ________8/22/2016 9:35 pm est_____________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _____no__    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___no___    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _____yes____     (yes/no/na) 

8. remote dial-in ?   _______no____   (yes/no/na) 

9. equipment reset ?    _____na______    (yes/no/na) 

10. verified site working on backup circuit ?  __na_____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    ___________swisscom______________       

12. notified  gsc  ___yes_____     (yes/no/na)    cert started  ?_____naa___    (yes/no/na) 

13.  additional diagnostics",uxgrdjfc kqxdjeov,GRP_8
job Job_3028 failed in job_scheduler at: 08/22/2016 22:02:00,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/22/2016 22:02:00",bpctwhsn kzqsbmtp,GRP_45
KSEM / wzs60 / m1 (m07.15360),"pc defective, drove down automatically and can not start.
ask for completion by m. himghtmelreich",zxopwyak zrbfkimx,GRP_33
advanced search does not use the material field on the form,the same set of results is returned regardless if leaving the field blank or selecting any material.,esntuago kwxrdhuv,GRP_25
not able to open jpg image files.,"received from: ulroqsyf.wctpnarb@gmail.com

hello,

i am not able to open jpg image files on my pc.
pl. help.",ulroqsyf wctpnarb,GRP_0
lorw8327797sf(usa robot):outlook did not complete on time had to be kirtyled alert in reporting_tool since 08/22 12:59 pm et,lorw8327797sf(usa robot):outlook did not complete on time had to be kirtyled alert in reporting_tool since 08/22 12:59 pm et,jloygrwh acvztedi,GRP_8
job Job_1953d failed in job_scheduler at: 08/22/2016 18:03:00,"received from: monitoring_tool@company.com

job Job_1953d failed in job_scheduler at: 08/22/2016 18:03:00",bpctwhsn kzqsbmtp,GRP_8
job Job_1953d :was running longer than 30 minutes,"received from: monitoring_tool@company.com

job Job_1953d failed in job_scheduler at: 08/22/2016 18:03:00",bpctwhsn kzqsbmtp,GRP_6
"usa has 2 unresolved mii password lockouts-employees got  ""user authentication failed"" error-cannot confirm production","hi all, 
 
we had 3-4 occurences where people got a ""user authentication failed"" error: 
 
1)      tortm hortl (howthrelte)
2)      yqxlbswt eimhxowu (tnhymatj) - unresolved
3)      ligsnzur smcxerwk (grargtfl) - unresolved

could you please check the root cause and unlock the operators' passwords so they can log into mii and report production 
 
for lee, we were able to get through to password_management_tool and unlock the password – he will try in 20 mins to see if it works
 
for the others, i got a ""failed to verify password on active directory"" error when we tried to get into password_management_tool
it helped unlock tony's password but we got the same error after 30 minutes 
 

 
i was only able to resolve tortm hortl's password issue before the end of the shift.",epivntxc fdrxmuga,GRP_0
job hr_tooldplcmmaninp failed in job_scheduler at: 08/22/2016 17:07:00,"received from: monitoring_tool@company.com

job hr_tooldplcmmaninp failed in job_scheduler at: 08/22/2016 17:07:00",bpctwhsn kzqsbmtp,GRP_6
dell 7350: blue screen error.urgent,"dell 7350: blue screen error
-user has tried to recover and safe mode and restart , all the 3 opetions done help.
-service tag: 80sjv32
-asset tag: 405429
-os: win 8.1
-c:",qjiutmel fgvtxeoy,GRP_3
unable to launch outlook,unable to launch outlook,dalhjmcn fisvztuy,GRP_0
distributor_tool page error,distributor_tool page error,iefgkray zdyksvpw,GRP_0
did we send out automatic erp gui upgrade,"name:stefdgthyo
language:
browser:microsoft internet explorer
email:ejpvuxrg.tryaibcx@gmail.com
customer number:
telephone:+1 
summary:did we send out automatic erp gui upgrade?",ejpvuxrg tryaibcx,GRP_0
"network outage :india, india - (company) hard down since 1:17 pm on 08/22 et","what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ____1:17 pm on 08/22 et_________________

3.  scheduled maintenance ( power) ? __na_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? __na_____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___no___    (yes/no/na) 

6. backup circuit active ?   _____na___     (yes/no/na) 

7. site contact notified (phone/email) ?  ____na_____     (yes/no/na) 

8. remote dial-in ?   ____na_______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ____na____     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jloygrwh acvztedi,GRP_8
vpn connection issues.,"vpn connection issues.
-connected to the user system using teamviewer.
-changed the default browser .
-advised the caller to logon to the company vpn.
-caller confirmed that he was able to login.
-issue resolved.",gbwviklo ukwijqtm,GRP_0
job HostName_1019fail2 failed in job_scheduler at: 08/22/2016 15:45:00,"received from: monitoring_tool@company.com

job HostName_1019fail2 failed in job_scheduler at: 08/22/2016 15:45:00",bpctwhsn kzqsbmtp,GRP_8
mobile device activation for the new iphone,mobile device activation for the new iphone,hvjmxkcp pvzlgeyw,GRP_0
"decimal values in ""daily qty confirmed""","usa plant, work center preeco showing 4840.1 in mentioned field

for reference:

collaboration_platform:#decimal%20values%20in%20%22daily%20qty%20confirmed%22&section-id={b02cc616-a796-4ab6-bc94-98de524924ae}&page-id={f3cce32e-bc9f-426d-a364-92434990ca0f}&end",entuakhp xrnhtdmk,GRP_41
otd to frozen date alert issue,"in supervisor dashbankrd the ""otd to frozen date"" alert is not populating correctly

for reference:

collaboration_platform:#re%20otd%20to%20frozen%20date%20alert&section-id={b02cc616-a796-4ab6-bc94-98de524924ae}&page-id={aa19plant_19-415f-43de-90ac-dac4af090b67}&end",entuakhp xrnhtdmk,GRP_41
setup time not calculated properly,"email from kanchi (usa) on how confirmation times are calculated in mii. 

in one example kahrthyeui found out that mii was using work center or factory calendar (excluding weekend time from calculation) but in other cases it was not. 

more details on page 


collaboration_platform:#re%20time%20calculations%20in%20erp%20/%20mii&section-id={b02cc616-a796-4ab6-bc94-98de524924ae}&page-id={e2181c91-05d2-418e-999a-1475f818a343}&end",entuakhp xrnhtdmk,GRP_41
